,volatile acidity,residual sugar,density,quality
822,0.18,5.4,0.99445,5
823,0.19,6.2,0.9945,6
824,0.18,5.1,0.9939,5
825,0.21,7.2,0.9958,6
826,0.25,8.1,0.9956,6
827,0.24,2.0,0.99055,9
828,0.16,10.7,0.9959,7
829,0.16,1.2,0.9925,7
830,0.205,1.7,0.9963,6
831,0.17,5.5,0.9935,4
832,0.3,2.7,0.99105,8
833,0.25,1.3,0.99045,6
834,0.205,1.7,0.9963,6
835,0.42,4.3,0.99155,8
836,0.25,2.1,0.99085,8
837,0.25,2.1,0.99085,8
838,0.25,2.1,0.99085,8
839,0.34,6.0,0.9924,7
840,0.33,6.3,0.9924,7
841,0.23,13.4,0.99975,7
842,0.23,13.4,0.99975,7
843,0.19,1.7,0.99315,7
844,0.21,1.6,0.9917,8
845,0.21,1.6,0.9917,8
846,0.22,15.4,0.99845,5
847,0.34,1.2,0.9921,5
848,0.23,13.4,0.99975,7
849,0.2,1.8,0.9909,6
850,0.19,1.7,0.99315,7
851,0.38,13.6,0.99855,5
852,0.18,1.3,0.9934,7
853,0.34,11.1,0.9978,5
854,0.18,1.3,0.9934,7
855,0.2,2.1,0.9949,7
856,0.38,13.6,0.99855,5
857,0.4,13.7,0.9986,5
858,0.22,10.2,0.99725,7
859,0.3,4.8,0.9946,5
860,0.27,1.7,0.99255,8
861,0.25,14.2,0.9996,7
862,0.34,6.5,0.9939,6
863,0.28,1.7,0.99,6
864,0.33,6.5,0.9937,5
865,0.27,2.2,0.9886,6
866,0.18,1.3,0.9934,7
867,0.18,12.6,1.0,8
868,0.28,14.4,0.9994,7
869,0.24,1.2,0.9926,6
870,0.45,9.7,0.9956,5
871,0.34,11.1,0.9978,5
872,0.26,4.0,0.9915,6
873,0.17,1.4,0.9939,3
874,0.15,1.3,0.9932,5
875,0.21,2.2,0.993,7
876,0.36,4.2,0.9898,9
877,0.28,1.6,0.9921,6
878,0.16,1.4,0.9932,6
879,0.12,2.2,0.9919,8
880,0.21,2.2,0.993,7
881,0.36,1.9,0.9953,6
882,0.26,6.0,0.9928,6
883,0.26,6.0,0.9928,6
884,0.23,12.2,0.9976,6
885,0.34,2.6,0.9906,7
886,0.26,1.6,0.9918,6
887,0.3,2.0,0.99185,7
888,0.26,1.6,0.9918,6
889,0.3,2.0,0.99185,7
890,0.31,6.4,0.9940000000000001,6
891,0.26,1.2,0.9908,7
892,0.26,1.0,0.9928,5
893,0.31,1.4,0.9896,7
894,0.26,1.2,0.9908,7
895,0.19,1.1,0.9918,6
896,0.18,8.7,0.9952,6
897,0.29,1.6,0.9923,6
898,0.26,1.4,0.9915,6
899,0.18,8.5,0.9952,6
900,0.2,7.9,0.9947,7
901,0.29,13.2,0.9983,6
902,0.28,12.8,0.9975,5
903,0.31,7.7,0.995,6
904,0.21,2.4,0.9944,8
905,0.19,1.6,0.9940000000000001,4
906,0.27,1.3,0.9944,4
907,0.25,2.1,0.9908,8
908,0.23,9.6,0.99795,4
909,0.24,13.0,0.9985,5
910,0.33,5.8,0.99425,5
911,0.33,5.6,0.99425,5
912,0.34,5.8,0.9943,5
913,0.29,0.8,0.9924,5
914,0.32,1.2,0.9946,4
915,0.29,0.8,0.9924,5
916,0.13,4.7,0.995,7
917,0.3,1.6,0.9919,6
918,0.24,1.4,0.99,6
919,0.18,1.1,0.9923,7
920,0.11,4.6,0.9956,7
921,0.32,10.6,0.9978,6
922,0.32,10.6,0.9978,6
923,0.26,12.9,0.9967,6
924,0.28,2.0,0.9934,8
925,0.27,2.9,0.9936,5
926,0.595,2.8,0.9932,5
927,0.25,2.9,0.9934,7
928,0.25,12.0,0.998,5
929,0.36,15.0,0.9978,5
930,0.17,5.9,0.9929,7
931,0.26,12.6,0.9974,5
932,0.26,12.5,0.99685,6
933,0.29,7.4,0.99495,5
934,0.28,13.0,0.99745,5
935,0.27,6.7,0.99505,5
936,0.43,1.4,0.992,5
937,0.36,15.0,0.9978,5
938,0.35,7.3,0.9956,6
939,0.24,15.3,0.9982,7
940,0.34,7.5,0.99485,5
941,0.27,11.75,0.9971,6
942,0.415,1.6,0.99265,7
943,0.48,3.5,0.9904,7
944,0.18,8.0,0.9965,7
945,0.15,5.0,0.9946,7
946,0.345,18.2,0.99965,5
947,0.16,1.6,0.9935,5
948,0.705,3.2,0.996,4
949,0.25,6.4,0.9942,5
950,0.345,1.9,0.9936,5
951,0.22,9.7,0.9965,6
952,0.17,1.4,0.9928,6
953,0.23,1.3,0.9928,5
954,0.22,9.7,0.9965,6
955,0.345,1.9,0.9936,5
956,0.32,1.8,0.9938,5
957,0.23,0.9,0.9926,7
958,0.2,1.1,0.9926,7
959,0.24,15.4,0.9983,6
960,0.24,15.4,0.9983,6
961,0.42,5.0,0.992,7
962,0.24,15.4,0.9983,6
963,0.19,4.0,0.9923,6
964,0.26,12.5,0.9972,6
965,0.23,3.2,0.9928,5
966,0.34,1.8,0.9928,6
967,0.22,17.5,0.9994,6
968,0.08,1.9,0.991,7
969,0.42,1.6,0.9906,7
970,0.42,1.5,0.9894,7
971,0.27,1.7,0.9898,7
972,0.22,17.5,0.9994,6
973,0.08,1.9,0.991,7
974,0.13,1.8,0.9925,6
975,0.3,4.3,0.9956,5
976,0.13,4.9,0.9946,6
977,0.14,7.6,0.9966,5
978,0.28,6.7,0.9951,7
979,0.2,1.6,0.9927,5
980,0.19,1.5,0.9927,6
981,0.28,6.7,0.9951,7
982,0.39,1.7,0.9894,6
983,0.36,4.2,0.9907,6
984,0.19,1.6,0.9925,5
985,0.41,1.9,0.9928,6
986,0.28,5.3,0.9941,6
987,0.3,5.2,0.9941,6
988,0.19,1.6,0.9925,5
989,0.28,8.9,0.9935,7
990,0.16,3.4,0.9932,6
991,0.26,1.3,0.9944,4
992,0.25,15.2,0.9972,5
993,0.24,1.3,0.9940000000000001,4
994,0.18,1.8,0.9956,6
995,0.27,1.6,0.9927,6
996,0.26,1.3,0.9924,5
997,0.24,9.8,0.9966,6
998,0.24,17.45,0.9997,6
999,0.21,2.1,0.9936,7
1000,0.19,1.8,0.9936,7
1001,0.28,6.8,0.9952,5
1002,0.28,7.1,0.9952,6
1003,0.24,1.3,0.9928,7
1004,0.36,3.3,0.9911,6
1005,0.18,3.3,0.993,6
1006,0.36,3.3,0.9911,6
1007,0.52,2.7,0.9932,5
1008,0.22,1.2,0.993,7
1009,0.15,1.3,0.993,6
1010,0.16,1.4,0.9932,6
1011,0.16,1.7,0.9932,7
1012,0.16,1.7,0.9943,6
1013,0.25,11.6,0.9968,5
1014,0.16,12.6,0.9994,5
1015,0.39,2.8,0.9926,5
1016,0.37,11.2,0.9968,5
1017,0.16,1.4,0.9932,6
1018,0.18,1.4,0.9916,6
1019,0.14,1.5,0.9946,6
1020,0.2,1.5,0.9925,7
1021,0.2,1.5,0.9925,7
1022,0.19,7.05,0.9935,8
1023,0.19,10.6,0.9962,6
1024,0.34,2.8,0.9928,6
1025,0.15,1.6,0.993,6
1026,0.14,1.6,0.993,6
1027,0.55,8.2,0.9956,4
1028,0.24,1.5,0.9941,7
1029,0.6,11.0,0.9972,4
1030,0.2,2.1,0.9948,6
1031,0.34,7.6,0.9955,6
1032,0.3,6.8,0.9972,6
1033,0.3,6.8,0.9972,6
1034,0.64,10.6,0.9983,3
1035,0.17,1.8,0.9942,6
1036,0.17,1.5,0.9936,5
1037,0.47,6.0,0.9956,5
1038,0.15,5.3,0.9953,7
1039,0.17,1.4,0.9918,5
1040,0.68,2.1,0.995,4
1041,0.275,1.0,0.992,5
1042,0.49,5.2,0.9952,4
1043,0.33,19.45,1.001,5
1044,0.21,1.6,0.9924,7
1045,0.15,2.0,0.9932,5
1046,0.19,1.3,0.9937,5
1047,0.31,1.7,0.9918,5
1048,0.4,1.1,0.9934,5
1049,0.37,4.7,0.991,6
1050,0.24,7.5,0.9962,5
1051,0.21,1.1,0.9932,6
1052,0.29,1.3,0.9908,5
1053,0.29,2.2,0.9962,4
1054,0.31,1.7,0.9918,5
1055,0.26,2.2,0.9941,5
1056,0.21,1.2,0.9931,6
1057,0.51,10.0,0.9981,5
1058,0.21,1.2,0.9931,6
1059,0.3,1.1,0.9944,4
1060,0.26,2.0,0.992,7
1061,0.21,7.5,0.9966,5
1062,0.26,4.0,0.9956,5
1063,0.26,4.1,0.9956,5
1064,0.26,1.9,0.9949,6
1065,0.22,14.8,1.0002,5
1066,0.3,5.5,0.9942,6
1067,0.19,2.6,0.9923,7
1068,0.33,6.35,0.9917,7
1069,0.2,1.5,0.9931,6
1070,0.37,1.6,0.992,7
1071,0.22,14.8,1.0002,5
1072,0.29,9.1,0.9953,7
1073,0.34,8.0,0.9951,5
1074,0.55,12.0,0.9974,6
1075,0.4,3.2,0.9904,7
1076,0.28,7.7,0.9974,6
1077,0.26,1.3,0.9944,5
1078,0.26,16.3,1.0004,5
1079,0.34,6.2,0.9952,6
1080,0.15,4.7,0.9956,7
1081,0.27,5.8,0.995,6
1082,0.27,5.8,0.995,6
1083,0.2,16.95,0.9995,6
1084,0.23,5.1,0.9942,7
1085,0.31,10.2,0.9977,5
1086,0.24,3.8,0.992,8
1087,0.24,1.3,0.992,8
1088,0.2,16.95,0.9995,6
1089,0.17,4.0,0.9934,7
1090,0.21,17.1,1.0006,6
1091,0.21,14.5,0.9982,6
1092,0.21,1.2,0.9928,6
1093,0.17,6.7,0.9945,7
1094,0.24,8.4,0.9963,5
1095,0.24,1.3,0.9906,8
1096,0.28,8.8,0.9956,6
1097,0.23,5.1,0.9942,7
1098,0.29,10.6,0.9962,6
1099,0.29,2.6,0.9894,7
1100,0.27,5.8,0.995,6
1101,0.17,2.8,0.9908,6
1102,0.16,1.6,0.9914,5
1103,0.29,6.7,0.9938,5
1104,0.31,10.2,0.9977,5
1105,0.32,4.9,0.9922,7
1106,0.24,3.8,0.992,8
1107,0.37,2.0,0.9903,7
1108,0.29,1.7,0.9893,7
1109,0.22,2.4,0.9952,4
1110,0.37,2.0,0.9903,7
1111,0.18,1.3,0.9912,6
1112,0.22,12.0,0.9983,6
1113,0.18,1.6,0.9937,5
1114,0.52,1.4,0.9932,4
1115,0.15,2.2,0.9928,8
1116,0.415,1.4,0.9922,5
1117,0.45,8.3,0.9976,5
1118,0.415,1.4,0.9922,5
1119,0.5,12.9,0.9974,5
1120,0.105,12.4,0.998,6
1121,0.4,1.6,0.9931,6
1122,0.25,1.45,0.9911,7
1123,0.36,1.6,0.9944,5
1124,0.23,1.5,0.9937,5
1125,0.55,13.0,0.9974,6
1126,0.115,1.95,0.9890000000000001,7
1127,0.125,5.85,0.992,7
1128,0.1,1.3,0.9928,5
1129,0.25,5.3,0.9918,7
1130,0.2,1.2,0.9936,6
1131,0.23,4.0,0.9944,6
1132,0.39,14.35,0.9988,5
1133,0.22,2.3,0.9940000000000001,5
1134,0.41,4.7,0.9953,5
1135,0.25,12.85,0.9986,6
1136,0.26,5.2,0.9914,8
1137,0.31,8.4,0.9934,8
1138,0.28,3.2,0.996,5
1139,0.31,6.9,0.9937,5
1140,0.16,1.0,0.9921,6
1141,0.34,7.3,0.998,5
1142,0.28,3.2,0.996,5
1143,0.24,1.6,0.9933,5
1144,0.25,1.5,0.9933,5
1145,0.32,7.5,0.9959,5
1146,0.27,1.1,0.9936,5
1147,0.34,1.3,0.9953,5
1148,0.17,5.7,0.9938,6
1149,0.25,7.2,0.9952,5
1150,0.32,7.6,0.9959,5
1151,0.32,7.5,0.9959,5
1152,0.6,1.3,0.9937,4
1153,0.395,1.3,0.992,6
1154,0.16,4.8,0.9967,4
1155,0.33,2.1,0.9944,4
1156,0.3,16.85,0.9998,6
1157,0.3,16.85,0.9998,6
1158,0.26,4.1,0.9942,6
1159,0.3,16.85,0.9998,6
1160,0.14,1.3,0.9945,6
1161,0.3,16.85,0.9998,6
1162,0.25,7.4,0.9946,7
1163,0.26,4.1,0.9942,6
1164,0.23,0.9,0.9928,6
1165,0.24,6.3,0.9946,5
1166,0.45,0.8,0.9927,5
1167,0.23,1.4,0.9938,6
1168,0.2,1.0,0.9918,5
1169,0.14,1.3,0.9945,6
1170,0.25,4.5,0.9966,6
1171,0.61,5.4,0.9954,5
1172,0.21,1.9,0.9913,6
1173,0.22,2.0,0.9931,5
1174,0.26,12.7,0.9986,6
1175,0.25,8.6,0.9965,5
1176,0.32,11.1,0.9984,7
1177,0.25,2.0,0.9952,6
1178,0.44,2.8,0.9956,5
1179,0.2,4.5,0.9949,5
1180,0.61,5.4,0.9954,5
1181,0.42,9.1,0.996,6
1182,0.22,2.0,0.9931,5
1183,0.26,2.2,0.992,6
1184,0.46,4.1,0.9912,7
1185,0.41,11.8,0.9978,5
1186,0.32,1.2,0.9938,5
1187,0.21,2.2,0.9914,8
1188,0.21,1.4,0.9932,6
1189,0.26,1.6,0.9944,5
1190,0.21,1.9,0.9913,6
1191,0.25,5.2,0.9948,7
1192,0.26,14.45,0.998,6
1193,0.22,14.75,0.9998,7
1194,0.37,8.3,0.9964,6
1195,0.22,14.2,0.9992,6
1196,0.25,5.2,0.9948,7
1197,0.22,14.75,0.9998,7
1198,0.26,14.45,0.998,6
1199,0.25,6.9,0.9939,7
1200,0.18,1.5,0.992,6
1201,0.17,1.5,0.9922,7
1202,0.3,7.8,0.9955,5
1203,0.33,1.5,0.9917,6
1204,0.33,1.5,0.9917,6
1205,0.33,1.5,0.9954,5
1206,0.26,15.55,0.9986,6
1207,0.3,7.8,0.9955,5
1208,0.21,1.7,0.9917,6
1209,0.23,1.5,0.9907,6
1210,0.28,1.0,0.9922,6
1211,0.27,6.7,0.9958,5
1212,0.32,1.6,0.993,6
1213,0.33,1.5,0.9917,6
1214,0.24,1.2,0.9926,6
1215,0.28,7.1,0.9959,5
1216,0.37,1.0,0.9906,8
1217,0.61,12.1,0.9993,5
1218,0.26,7.1,0.993,8
1219,0.37,1.0,0.9906,8
1220,0.23,1.15,0.992,6
1221,0.4,6.0,0.992,7
1222,0.28,1.2,0.9940000000000001,6
1223,0.28,7.1,0.9959,5
1224,0.23,2.3,0.9908,7
1225,0.32,3.4,0.9902,6
1226,0.23,2.3,0.9908,7
1227,0.18,6.5,0.9943,5
1228,0.26,1.2,0.9921,6
1229,0.33,1.15,0.9911,3
1230,0.29,13.0,0.9986,6
1231,0.41,4.5,0.992,7
1232,0.44,5.85,0.992,7
1233,0.39,5.2,0.9943,6
1234,0.26,1.3,0.9937,6
1235,0.32,1.7,0.993,5
1236,0.32,3.4,0.9902,6
1237,0.24,3.6,0.9928,5
1238,0.44,2.7,0.9896,7
1239,0.25,2.2,0.998,5
1240,0.14,1.8,0.9954,6
1241,0.18,2.1,0.9938,7
1242,0.43,6.6,0.9918,7
1243,0.44,2.7,0.9896,7
1244,0.26,5.1,0.9944,5
1245,0.66,17.55,0.9999,4
1246,0.2,5.2,0.9953,7
1247,0.21,1.1,0.992,6
1248,0.18,1.1,0.9925,7
1249,0.57,10.7,0.9981,5
1250,0.26,5.15,0.9952,7
1251,0.245,1.1,0.9927,5
1252,0.245,1.1,0.9927,6
1253,0.25,1.8,0.9911,7
1254,0.16,1.0,0.9936,5
1255,0.22,1.8,0.9959,6
1256,0.18,1.4,0.9946,6
1257,0.17,6.7,0.9948,6
1258,0.29,6.8,0.9955,6
1259,0.21,6.8,0.9951,6
1260,0.23,7.1,0.9952,6
1261,0.19,1.5,0.9946,6
1262,0.18,1.4,0.9946,6
1263,0.29,1.45,0.9944,6
1264,0.14,1.2,0.9938,5
1265,0.31,7.4,0.9963,7
1266,0.28,4.2,0.991,8
1267,0.22,14.6,1.0003,7
1268,0.31,10.5,0.9966,5
1269,0.35,13.8,0.9993,6
1270,0.22,14.6,1.0003,7
1271,0.5,1.1,0.9938,5
1272,0.39,5.3,0.9965,5
1273,0.5,1.1,0.9938,5
1274,0.35,13.8,0.9993,6
1275,0.22,1.5,0.9938,6
1276,0.22,14.6,1.0003,7
1277,0.31,10.5,0.9966,5
1278,0.24,4.9,0.9942,6
1279,0.27,1.9,0.9928,6
1280,0.16,1.7,0.991,6
1281,0.27,1.8,0.9911,7
1282,0.31,10.7,0.9977,5
1283,0.45,8.8,0.9927,8
1284,0.27,1.8,0.9911,7
1285,0.16,1.7,0.991,6
1286,0.16,1.8,0.9912,7
1287,0.21,1.6,0.9907,7
1288,0.32,1.4,0.9902,7
1289,0.16,1.6,0.992,6
1290,0.16,1.5,0.9940000000000001,6
1291,0.23,9.2,0.9966,6
1292,0.17,1.1,0.993,6
1293,0.39,4.3,0.993,4
1294,0.41,4.2,0.993,4
1295,0.23,9.2,0.9966,6
1296,0.38,5.0,0.9942,6
1297,0.42,6.8,0.9925,7
1298,0.34,5.2,0.9925,6
1299,0.23,4.75,0.9928,5
1300,0.245,5.9,0.995,6
1301,0.2,7.7,0.9939,5
1302,0.19,6.4,0.9958,6
1303,0.2,8.1,0.9952,6
1304,0.59,17.35,1.0,5
1305,0.14,1.8,0.9948,7
1306,0.24,1.8,0.99,8
1307,0.14,1.5,0.9958,5
1308,0.15,1.6,0.9948,6
1309,0.17,1.6,0.9949,6
1310,0.365,13.5,0.997,6
1311,0.23,3.75,0.9927,6
1312,0.25,1.3,0.9938,5
1313,0.32,1.3,0.9949,5
1314,0.31,6.2,0.9953,6
1315,0.2,9.7,0.997,6
1316,0.255,2.0,0.9932,6
1317,0.15,1.4,0.9927,5
1318,0.15,1.1,0.9932,6
1319,0.25,6.6,0.9955,5
1320,0.19,1.5,0.9914,6
1321,0.43,4.6,0.991,6
1322,0.31,0.9,0.992,6
1323,0.2,1.7,0.9924,5
1324,0.16,1.3,0.9927,6
1325,0.32,2.3,0.9911,7
1326,0.22,6.8,0.9958,6
1327,0.26,1.5,0.9928,6
1328,0.37,1.2,0.9902,6
1329,0.19,2.1,0.9940000000000001,5
1330,0.21,2.2,0.9940000000000001,5
1331,0.15,8.8,0.9972,6
1332,0.16,17.0,1.0004,7
1333,0.21,1.8,0.991,8
1334,0.24,1.2,0.9918,6
1335,0.21,2.3,0.995,6
1336,0.29,7.0,0.9941,8
1337,0.18,6.4,0.9956,5
1338,0.18,6.4,0.9956,5
1339,0.58,12.15,0.9959,6
1340,0.16,0.8,0.9922,6
1341,0.54,2.0,0.9931,5
1342,0.58,12.15,0.9959,6
1343,0.25,12.4,0.9984,6
1344,0.23,1.9,0.9908,8
1345,0.39,1.1,0.991,8
1346,0.46,6.2,0.9928,7
1347,0.35,6.3,0.9936,7
1348,0.29,7.0,0.9941,8
1349,0.35,0.9,0.9924,4
1350,0.57,3.9,0.9917,7
1351,0.37,3.9,0.9906,7
1352,0.21,2.3,0.995,6
1353,0.18,6.4,0.9956,5
1354,0.13,1.8,0.9955,5
1355,0.19,1.1,0.9907,5
1356,0.22,15.4,1.0,6
1357,0.29,6.5,0.9953,6
1358,0.35,2.4,0.9911,8
1359,0.19,1.4,0.9922,7
1360,0.12,5.7,0.9951,6
1361,0.13,5.7,0.9948,7
1362,0.25,1.4,0.9906,7
1363,0.32,1.4,0.9940000000000001,4
1364,0.19,1.1,0.9907,5
1365,0.13,1.2,0.9927,7
1366,0.14,0.9,0.9914,6
1367,0.27,3.8,0.9958,5
1368,0.22,15.4,1.0,6
1369,0.64,14.15,0.9984,5
1370,0.28,1.9,0.9941,6
1371,0.26,9.2,0.9944,7
1372,0.22,8.2,0.998,6
1373,0.22,8.2,0.998,6
1374,0.23,2.7,0.9902,7
1375,0.3,1.7,0.9911,7
1376,0.27,1.7,0.9929,6
1377,0.28,1.7,0.993,6
1378,0.28,1.6,0.9918,7
1379,0.46,0.9,0.992,6
1380,0.38,8.5,0.9932,7
1381,0.43,5.7,0.992,7
1382,0.56,3.1,0.9940000000000001,6
1383,0.36,1.3,0.9923,6
1384,0.23,1.6,0.993,6
1385,0.33,1.3,0.9956,5
1386,0.49,4.5,0.9907,7
1387,0.42,2.8,0.99,6
1388,0.18,1.2,0.9918,7
1389,0.19,0.9,0.9926,6
1390,0.19,7.4,0.995,6
1391,0.16,1.4,0.99,6
1392,0.42,2.8,0.99,6
1393,0.135,4.6,0.9946,6
1394,0.49,4.5,0.9907,7
1395,0.19,1.6,0.9898,7
1396,0.18,1.2,0.9918,7
1397,0.25,13.1,0.9986,7
1398,0.25,13.1,0.9986,7
1399,0.2,5.7,0.9928,6
1400,0.25,13.1,0.9986,7
1401,0.67,12.6,0.9979,6
1402,0.4,5.4,0.9940000000000001,8
1403,0.26,2.2,0.9937,8
1404,0.31,6.6,0.9938,5
1405,0.39,6.9,0.9942,4
1406,0.22,6.8,0.9944,8
1407,0.19,3.6,0.993,6
1408,0.25,13.1,0.9986,7
1409,0.2,1.2,0.9932,6
1410,0.26,5.9,0.9934,6
1411,0.2,5.7,0.9928,6
1412,0.3,4.1,0.9925,8
1413,0.29,7.1,0.9944,6
1414,0.17,1.4,0.9909,6
1415,0.415,0.8,0.9932,5
1416,0.23,1.3,0.9934,6
1417,0.55,15.55,1.0001,3
1418,0.35,1.0,0.992,5
1419,0.14,1.6,0.9916,7
1420,0.28,11.8,0.998,4
1421,0.18,4.5,0.9919,6
1422,0.165,1.1,0.9925,5
1423,0.25,10.0,0.9977,4
1424,0.29,7.1,0.9944,6
1425,0.22,0.9,0.991,6
1426,0.22,1.0,0.99,6
1427,0.25,1.1,0.9917,5
1428,0.18,1.1,0.9923,7
1429,0.22,1.5,0.9928,5
1430,0.39,1.0,0.9923,4
1431,0.22,1.5,0.9928,5
1432,0.36,2.9,0.9902,7
1433,0.29,1.2,0.9893,6
1434,0.25,1.1,0.9917,5
1435,0.23,14.2,0.9982,5
1436,0.56,17.85,1.0005,5
1437,0.18,1.1,0.9923,7
1438,0.23,7.1,0.9951,5
1439,0.25,7.6,0.9956,5
1440,0.26,13.6,0.998,5
1441,0.31,1.4,0.9928,5
1442,0.25,1.2,0.9938,5
1443,0.18,5.3,0.9914,6
1444,0.43,13.0,0.9955,6
1445,0.2,4.45,0.9924,6
1446,0.27,1.2,0.9911,6
1447,0.16,1.2,0.9917,6
1448,0.16,1.2,0.9917,6
1449,0.19,6.6,0.9932,6
1450,0.43,13.0,0.9955,6
1451,0.4,1.1,0.9929,5
1452,0.43,13.0,0.9955,6
1453,0.52,14.0,0.9958,7
1454,0.21,19.8,1.0012,5
1455,0.34,11.2,0.9968,5
1456,0.27,1.2,0.9911,6
1457,0.2,4.45,0.9924,6
1458,0.22,2.7,0.991,6
1459,0.11,4.5,0.9946,6
1460,0.17,3.6,0.9928,6
1461,0.145,5.4,0.9946,6
1462,0.16,1.2,0.9917,6
1463,0.19,1.2,0.9918,6
1464,0.44,9.1,0.9926,8
1465,0.2,0.8,0.9931,5
1466,0.19,6.6,0.9932,6
1467,0.25,3.0,0.9903,7
1468,0.24,1.6,0.9928,5
1469,0.4,1.1,0.9929,5
1470,0.52,14.0,0.9958,7
1471,0.43,13.0,0.9955,6
1472,0.21,1.35,0.9911,5
1473,0.2,5.9,0.9938,6
1474,0.25,3.6,0.9942,4
1475,0.08,1.3,0.9945,6
1476,0.85,8.7,0.9962,5
1477,0.51,1.2,0.992,6
1478,0.22,4.6,0.9927,6
1479,0.16,2.0,0.9948,6
1480,0.08,1.3,0.9945,6
1481,0.25,1.7,0.9942,6
1482,0.16,2.4,0.9952,6
1483,0.25,3.6,0.9942,4
1484,0.32,4.6,0.9958,3
1485,0.28,1.5,0.9918,6
1486,0.15,0.9,0.9932,6
1487,0.25,19.4,1.0004,6
1488,0.26,13.3,0.9972,6
1489,0.16,17.85,0.9998,5
1490,0.185,1.1,0.9918,6
1491,0.2,1.3,0.9918,5
1492,0.3,9.4,0.9964,5
1493,0.34,9.0,0.9936,8
1494,0.35,8.65,0.9931,8
1495,0.29,9.6,0.9938,7
1496,0.62,1.1,0.9934,5
1497,0.27,1.2,0.99,7
1498,0.27,1.8,0.9914,6
1499,0.51,2.1,0.9904,6
1500,0.19,9.3,0.9940000000000001,7
1501,0.2,1.7,0.9938,5
1502,0.3,1.2,0.9933,5
1503,0.36,4.6,0.9909,7
1504,0.17,12.8,0.9942,8
1505,0.18,1.5,0.9945,7
1506,0.2,8.1,0.9954,6
1507,0.26,7.5,0.996,6
1508,0.21,14.5,0.9991,6
1509,0.2,1.6,0.993,5
1510,0.18,1.8,0.9942,5
1511,0.23,3.2,0.9934,6
1512,0.22,9.4,0.9939,7
1513,0.22,9.9,0.9937,6
1514,0.19,9.3,0.9940000000000001,7
1515,0.155,1.3,0.9926,6
1516,0.22,9.6,0.9951,6
1517,0.24,9.3,0.9952,6
1518,0.23,7.8,0.9935,6
1519,0.2,1.7,0.9938,5
1520,0.2,1.7,0.9939,6
1521,0.3,1.2,0.9933,5
1522,0.21,1.4,0.9927,5
1523,0.25,9.0,0.998,6
1524,0.21,18.15,0.9997,6
1525,0.27,12.5,0.9981,5
1526,0.27,1.1,0.992,6
1527,0.28,7.7,0.9954,6
1528,0.27,1.1,0.992,6
1529,0.21,18.15,0.9997,6
1530,0.27,12.5,0.9981,5
1531,0.3,8.1,0.9943,7
1532,0.23,7.7,0.9941,7
1533,0.26,5.0,0.9936,6
1534,0.18,15.6,0.9996,6
1535,0.15,1.5,0.9932,6
1536,0.13,1.0,0.9926,5
1537,0.28,1.0,0.9936,6
1538,0.17,1.0,0.992,6
1539,0.26,5.0,0.9936,6
1540,0.18,15.6,0.9996,6
1541,0.53,0.8,0.993,4
1542,0.16,1.3,0.9924,6
1543,0.14,1.1,0.9928,6
1544,0.13,1.0,0.9926,5
1545,0.12,5.2,0.9952,6
1546,0.29,4.7,0.9945,6
1547,0.3,4.8,0.9945,6
1548,0.36,1.8,0.9903,6
1549,0.15,1.5,0.9932,6
1550,0.18,5.2,0.9953,6
1551,0.19,1.2,0.9936,6
1552,0.21,1.8,0.9912,7
1553,0.3,7.6,0.9962,7
1554,0.42,8.2,0.9965,7
1555,0.24,1.3,0.9932,7
1556,0.23,10.0,0.9967,6
1557,0.18,5.2,0.9953,6
1558,0.43,6.4,0.9963,4
1559,0.35,1.0,0.992,4
1560,0.3,1.8,0.991,6
1561,0.28,2.0,0.9958,5
1562,0.34,1.5,0.99,7
1563,0.3,1.8,0.991,6
1564,0.28,2.0,0.9958,5
1565,0.19,3.5,0.9938,6
1566,0.18,18.05,0.9996,5
1567,0.19,1.8,0.9946,5
1568,0.3,8.2,0.9974,6
1569,0.3,5.0,0.9945,5
1570,0.3,4.6,0.9946,5
1571,0.3,8.2,0.9974,6
1572,0.22,7.0,0.9957,6
1573,0.26,3.1,0.9931,5
1574,0.17,8.8,0.9947,4
1575,0.17,2.4,0.9953,6
1576,0.27,1.4,0.9931,6
1577,0.64,1.8,0.9946,4
1578,0.18,11.9,0.9978,5
1579,0.31,13.4,0.9989,4
1580,0.31,15.4,1.0004,5
1581,0.3,7.2,0.9938,6
1582,0.24,7.4,0.9934,7
1583,0.18,11.9,0.9978,5
1584,0.25,7.8,0.9956,6
1585,0.3,13.5,0.9982,5
1586,0.31,1.3,0.9948,5
1587,0.25,7.8,0.9956,6
1588,0.3,13.5,0.9982,5
1589,0.27,1.5,0.9926,6
1590,0.14,1.2,0.991,6
1591,0.12,6.4,0.9945,6
1592,0.21,1.2,0.9916,6
1593,0.16,7.3,0.9953,6
1594,0.29,3.8,0.9938,6
1595,0.27,7.3,0.9956,6
1596,0.55,2.7,0.9906,5
1597,0.27,7.3,0.9956,6
1598,0.24,1.4,0.9932,6
1599,0.33,1.6,0.9914,6
1600,0.29,3.8,0.9938,6
1601,0.34,8.0,0.996,6
1602,0.39,4.7,0.9906,5
1603,0.41,1.9,0.98815,7
1604,0.41,2.8,0.9942,5
1605,0.26,2.2,0.9903,9
1606,0.32,1.7,0.9906,6
1607,0.19,4.9,0.9935,7
1608,0.27,23.5,1.0024,5
1609,0.2,11.8,0.9968,7
1610,0.32,1.7,0.9906,6
