number,volatile acidity,sulphates,alcohol,quality
872,0.35,0.54,10.0,4
873,0.21,0.58,11.1,7
874,0.38,0.65,11.8,7
875,0.31,0.79,11.8,7
876,0.47,0.58,10.9,4
877,0.715,0.57,11.8,6
878,0.61,0.5,10.0,6
879,0.6,0.55,9.5,5
880,0.56,0.49,9.9,5
881,0.715,0.65,11.4,6
882,0.31,0.78,12.0,6
883,0.6,0.55,9.5,5
884,0.61,0.5,10.0,6
885,0.75,0.64,10.5,5
886,0.8,0.65,10.4,6
887,0.52,0.79,12.1,7
888,0.57,0.56,11.2,6
889,0.9,0.68,9.3,5
890,0.34,0.58,10.1,5
891,0.66,0.57,9.7,5
892,0.45,0.65,9.3,6
893,0.66,0.57,9.7,5
894,0.63,0.58,9.8,6
895,0.59,0.58,10.7,6
896,0.31,0.77,12.5,7
897,0.59,0.58,10.7,6
898,0.31,0.77,12.5,7
899,1.02,0.49,11.0,3
900,0.31,0.69,11.8,5
901,0.635,0.69,10.8,7
902,0.635,0.69,10.8,7
903,0.59,0.59,10.8,7
904,0.59,0.59,10.8,7
905,0.58,0.59,9.5,5
906,0.54,0.71,11.0,5
907,0.56,0.54,11.5,6
908,0.52,0.59,10.8,6
909,0.305,0.52,11.5,6
910,0.38,0.57,13.2,6
911,0.28,0.6,10.9,6
912,0.46,0.62,12.2,6
913,0.395,0.64,12.2,7
914,0.305,0.52,11.5,6
915,0.315,0.67,11.9,6
916,0.715,0.61,11.0,5
917,0.41,0.64,10.1,6
918,0.36,0.72,11.0,6
919,0.62,0.89,11.8,6
920,0.41,0.56,10.5,5
921,0.36,0.72,11.0,6
922,0.62,0.89,11.8,6
923,0.41,0.64,10.1,6
924,0.47,0.8,11.2,5
925,0.22,0.87,11.0,7
926,0.24,0.9,10.2,6
927,0.67,0.59,9.2,4
928,0.47,0.8,11.2,5
929,0.33,0.73,12.0,7
930,0.61,0.73,10.5,5
931,0.61,0.65,9.8,5
932,0.4,0.59,9.5,6
933,0.61,0.65,9.8,5
934,0.61,0.73,10.5,5
935,0.3,0.72,11.8,6
936,0.3,0.72,11.8,6
937,0.63,0.6,10.4,4
938,0.38,0.72,12.9,7
939,0.46,0.54,11.4,5
940,0.33,0.76,12.4,7
941,0.27,0.52,12.5,7
942,0.43,0.64,10.0,7
943,0.5,0.6,9.7,7
944,0.3,0.64,12.1,7
945,0.44,0.79,11.1,7
946,0.44,0.99,12.0,7
947,0.28,0.62,12.4,7
948,0.12,0.76,11.9,7
949,0.12,0.76,11.9,7
950,0.12,0.76,11.9,7
951,0.28,0.62,12.4,7
952,0.31,0.68,11.2,7
953,0.34,0.69,12.1,7
954,0.43,0.54,12.2,6
955,0.21,0.67,10.4,5
956,0.36,0.62,11.3,6
957,0.37,0.58,11.1,6
958,0.57,0.71,11.3,7
959,0.59,0.61,10.0,5
960,0.47,0.85,11.1,6
961,0.56,0.62,9.3,5
962,0.57,0.69,9.5,5
963,0.27,0.69,11.2,6
964,0.47,0.85,11.1,6
965,0.34,0.86,11.0,6
966,0.38,0.58,11.9,7
967,0.66,0.48,9.2,5
968,0.4,0.6,12.2,6
969,0.56,0.61,10.2,5
970,0.26,0.87,10.9,6
971,0.26,0.87,10.9,6
972,0.38,0.65,11.6,7
973,0.34,0.63,10.7,5
974,0.33,0.62,12.1,7
975,0.41,0.52,9.4,5
976,0.41,0.52,9.4,5
977,0.59,0.5,9.1,5
978,0.4,0.49,11.3,7
979,0.45,0.63,10.4,5
980,0.5,0.71,10.5,6
981,0.86,0.62,10.0,5
982,0.52,0.82,12.9,6
983,0.5,0.71,10.5,6
984,0.45,0.63,10.4,5
985,0.58,0.58,11.3,6
986,0.34,0.55,11.4,7
987,0.36,0.5,9.4,5
988,0.39,0.49,9.4,5
989,0.295,0.51,10.9,6
990,0.39,0.49,9.4,5
991,0.34,0.48,9.4,5
992,0.4,0.48,9.4,6
993,0.34,0.48,9.4,5
994,0.35,0.43,9.4,5
995,0.6,0.62,10.1,6
996,0.66,0.63,12.8,7
997,0.66,0.63,12.8,7
998,0.84,0.48,9.1,6
999,0.69,0.53,12.9,6
1000,0.43,0.72,11.5,7
1001,0.35,0.82,10.6,7
1002,0.29,0.84,11.7,7
1003,0.36,0.55,12.8,7
1004,0.43,0.54,10.3,5
1005,0.36,0.55,12.8,7
1006,0.29,0.84,11.7,7
1007,0.3,0.84,11.7,7
1008,0.35,0.7,12.0,7
1009,0.5,0.68,10.9,5
1010,0.28,0.55,12.3,7
1011,0.32,0.55,10.4,6
1012,1.005,0.48,10.0,5
1013,0.71,0.58,10.0,6
1014,0.58,0.58,11.2,6
1015,0.39,0.84,11.4,6
1016,0.38,0.75,12.6,7
1017,0.18,0.44,12.7,6
1018,0.18,0.44,12.7,6
1019,0.5,0.61,10.4,5
1020,0.36,0.53,11.9,6
1021,0.36,0.53,11.9,6
1022,0.51,0.54,10.5,5
1023,0.32,0.55,12.3,6
1024,0.58,0.56,10.5,7
1025,0.83,0.6,10.4,6
1026,0.31,0.56,12.6,6
1027,0.795,0.52,11.6,5
1028,0.34,0.54,10.1,6
1029,0.58,0.56,10.5,7
1030,0.59,0.55,11.5,7
1031,0.55,0.58,11.0,7
1032,0.82,0.53,9.6,5
1033,0.57,0.59,10.4,6
1034,0.745,0.47,9.7,6
1035,0.37,0.65,10.6,7
1036,0.31,0.59,12.5,7
1037,0.91,0.56,9.2,5
1038,0.41,0.77,12.6,7
1039,0.5,0.83,11.1,6
1040,0.965,0.67,10.2,5
1041,0.49,0.64,9.8,6
1042,0.5,0.83,11.1,6
1043,0.39,0.81,10.9,7
1044,0.39,0.62,12.2,6
1045,0.44,0.58,11.4,6
1046,0.78,0.62,10.7,6
1047,0.43,0.64,10.4,5
1048,0.49,0.78,10.9,6
1049,0.5,0.77,10.8,6
1050,0.43,0.64,10.4,5
1051,0.46,1.34,9.2,5
1052,0.605,0.55,12.9,5
1053,0.33,0.77,12.7,7
1054,0.64,0.62,9.1,6
1055,0.64,0.62,9.1,6
1056,0.48,0.59,12.1,7
1057,0.42,0.57,9.1,5
1058,0.53,0.76,11.6,7
1059,0.48,0.59,12.1,7
1060,0.23,0.7,9.9,6
1061,0.4,0.69,12.5,8
1062,0.38,0.64,11.4,6
1063,0.29,0.63,11.8,6
1064,0.74,0.57,11.8,6
1065,0.61,0.6,10.2,6
1066,0.52,0.72,12.5,7
1067,0.31,0.83,10.9,7
1068,0.31,0.83,10.9,7
1069,0.62,0.62,10.8,5
1070,0.33,0.89,11.1,7
1071,0.77,0.58,9.2,5
1072,0.35,0.58,9.5,6
1073,0.62,0.58,10.7,6
1074,0.77,0.58,9.2,5
1075,0.25,0.86,10.2,7
1076,0.32,0.73,11.4,6
1077,0.37,0.58,11.0,5
1078,0.37,0.58,11.0,5
1079,0.3,0.51,12.3,7
1080,0.27,0.51,11.8,6
1081,0.3,0.51,12.3,7
1082,0.38,0.59,9.5,6
1083,0.42,0.77,12.0,6
1084,0.38,0.59,9.5,6
1085,0.48,0.49,9.6,5
1086,0.34,0.66,11.6,7
1087,0.19,0.69,11.2,6
1088,0.41,0.76,9.9,7
1089,0.41,0.76,9.9,7
1090,0.26,0.63,11.8,8
1091,0.34,0.6,11.4,6
1092,0.54,0.59,11.5,6
1093,0.31,0.86,12.0,7
1094,0.725,0.49,10.8,6
1095,0.4,0.5,10.5,5
1096,0.725,0.49,10.8,6
1097,0.52,0.52,9.4,5
1098,0.31,0.81,12.5,7
1099,0.52,0.52,9.4,5
1100,0.34,0.78,12.4,6
1101,0.49,0.63,12.0,6
1102,0.48,0.54,11.2,6
1103,0.49,0.63,12.0,6
1104,0.48,0.66,12.4,6
1105,0.57,0.6,12.8,5
1106,0.23,0.54,12.3,6
1107,0.3,0.85,11.7,7
1108,0.78,0.49,9.5,5
1109,0.47,0.76,10.8,6
1110,0.53,0.64,10.0,6
1111,0.42,0.64,12.3,7
1112,0.33,0.71,11.0,6
1113,0.24,0.59,9.5,6
1114,0.4,0.66,13.6,6
1115,0.69,0.6,11.3,6
1116,0.69,0.6,11.3,6
1117,0.69,0.6,11.3,6
1118,0.39,0.53,13.3,6
1119,0.66,0.58,12.9,5
1120,0.54,0.72,13.1,8
1121,0.5,0.55,12.3,6
1122,0.47,0.48,12.3,6
1123,0.4,0.65,11.2,6
1124,0.58,0.62,11.5,4
1125,0.24,0.59,11.3,7
1126,0.29,0.54,13.5,6
1127,0.76,0.6,11.5,6
1128,0.43,0.68,10.0,5
1129,0.43,0.69,10.5,6
1130,0.6,0.63,10.4,6
1131,0.19,0.44,9.5,5
1132,0.36,0.88,13.6,7
1133,0.48,0.68,11.2,7
1134,0.28,0.74,11.8,7
1135,0.25,0.6,11.9,6
1136,0.52,0.76,11.4,6
1137,0.52,0.76,11.4,6
1138,0.41,0.58,9.1,5
1139,0.51,0.64,9.5,6
1140,0.4,0.65,9.5,6
1141,0.38,0.85,11.0,6
1142,0.45,0.65,11.4,6
1143,0.22,0.82,10.0,6
1144,0.32,0.62,10.1,5
1145,0.2,0.81,10.4,6
1146,0.5,0.87,9.8,6
1147,0.41,0.49,11.8,7
1148,0.39,0.66,11.6,6
1149,0.35,0.52,12.0,6
1150,0.33,0.76,12.8,7
1151,0.58,0.65,12.5,6
1152,0.6,0.53,9.8,5
1153,0.42,0.66,11.1,6
1154,0.58,0.68,11.4,6
1155,0.6,0.53,9.8,5
1156,0.18,0.76,11.8,7
1157,0.51,0.87,12.9,7
1158,0.41,1.16,10.6,6
1159,0.41,0.67,10.8,5
1160,0.36,0.72,11.1,7
1161,0.45,0.75,10.2,6
1162,0.32,0.71,11.8,7
1163,0.785,0.67,10.0,5
1164,0.785,0.67,10.0,5
1165,0.44,1.1,9.4,5
1166,0.54,0.98,10.2,5
1167,0.33,0.88,12.4,7
1168,0.34,0.56,12.0,6
1169,0.5,0.62,11.5,6
1170,0.36,0.67,10.5,6
1171,0.59,0.68,10.8,6
1172,0.42,0.74,12.3,6
1173,0.36,0.62,9.5,6
1174,0.36,0.62,9.5,6
1175,0.61,0.7,11.5,6
1176,0.88,0.5,11.2,4
1177,0.66,0.66,12.7,7
1178,0.915,0.73,11.4,5
1179,0.35,0.81,11.0,6
1180,0.35,0.81,11.0,6
1181,0.39,0.46,11.4,5
1182,0.4,0.86,10.5,6
1183,0.66,0.6,9.3,5
1184,0.64,0.7,10.9,5
1185,0.43,0.46,11.9,6
1186,0.8,0.5,12.2,5
1187,0.43,0.46,11.9,6
1188,0.64,0.7,10.9,5
1189,0.955,0.44,9.6,4
1190,0.4,0.57,12.5,6
1191,0.885,0.51,10.8,5
1192,0.25,0.8,12.4,7
1193,0.885,0.51,10.8,5
1194,0.745,0.59,9.5,6
1195,0.43,0.6,9.5,6
1196,0.58,0.58,9.5,6
1197,0.57,0.54,9.8,6
1198,0.26,0.79,10.9,6
1199,0.58,0.58,9.5,6
1200,0.57,0.54,9.8,6
1201,0.34,0.54,11.2,7
1202,0.42,0.69,11.7,8
1203,0.74,0.55,9.4,5
1204,0.36,0.85,11.0,7
1205,0.36,0.85,11.0,7
1206,0.36,0.85,11.0,7
1207,0.72,0.94,10.0,5
1208,0.36,0.85,11.0,7
1209,0.39,0.87,11.2,7
1210,0.65,0.62,10.4,6
1211,0.44,0.62,9.3,5
1212,0.65,0.62,10.4,6
1213,0.38,0.75,10.5,6
1214,0.33,0.48,10.4,6
1215,0.27,0.56,11.3,6
1216,0.57,0.69,9.5,6
1217,0.34,0.81,12.0,6
1218,0.4,0.69,10.6,6
1219,0.39,0.83,10.9,6
1220,0.32,0.77,11.5,6
1221,0.32,0.77,11.5,6
1222,0.53,0.46,9.6,6
1223,0.36,0.76,12.0,6
1224,0.39,0.82,10.3,6
1225,0.46,0.51,9.4,5
1226,0.58,0.47,9.2,5
1227,0.58,0.72,9.6,5
1228,0.42,0.73,13.6,7
1229,0.43,0.64,9.5,5
1230,0.18,0.78,11.8,6
1231,0.815,0.62,10.8,5
1232,0.43,0.64,9.5,5
1233,0.23,0.49,9.3,4
1234,0.75,0.4,12.8,6
1235,0.33,0.56,11.5,4
1236,0.55,0.64,9.4,6
1237,0.75,0.4,12.8,6
1238,0.73,0.46,9.6,4
1239,0.67,0.56,11.8,4
1240,0.61,0.4,9.3,5
1241,0.37,0.59,9.8,5
1242,0.4,0.6,12.2,6
1243,0.56,0.62,9.5,5
1244,0.29,0.54,10.3,6
1245,0.55,0.68,10.5,5
1246,0.74,0.48,10.0,5
1247,0.55,0.68,10.5,5
1248,0.41,0.75,11.1,6
1249,0.6,0.61,10.9,6
1250,0.6,0.61,10.9,6
1251,0.58,0.59,9.8,5
1252,0.72,0.58,9.8,5
1253,0.66,0.58,9.5,5
1254,0.7,0.69,10.9,5
1255,0.64,0.45,11.0,5
1256,0.59,0.42,9.2,5
1257,0.58,0.7,11.0,6
1258,0.64,0.63,11.3,6
1259,0.64,0.63,11.3,6
1260,0.635,1.15,9.3,5
1261,1.02,0.55,11.2,4
1262,0.45,0.58,9.8,5
1263,0.78,0.46,9.6,4
1264,0.37,0.72,11.8,6
1265,0.57,0.6,10.3,6
1266,0.57,0.6,10.3,6
1267,0.43,0.87,11.4,6
1268,0.41,0.55,9.5,6
1269,0.49,0.82,14.0,8
1270,0.38,0.75,14.0,6
1271,0.44,0.57,11.7,6
1272,0.46,0.53,11.2,5
1273,0.58,0.43,9.3,5
1274,0.58,0.53,11.2,6
1275,0.715,0.54,9.5,6
1276,0.4,0.56,12.0,4
1277,0.69,0.6,9.7,6
1278,0.715,0.54,9.5,6
1279,0.3,0.57,11.5,7
1280,0.46,0.64,10.4,6
1281,0.46,0.64,10.4,6
1282,0.765,0.68,10.9,6
1283,0.63,0.63,10.2,6
1284,0.42,0.56,10.9,5
1285,0.37,0.57,10.5,5
1286,0.16,0.54,12.4,6
1287,0.6,0.37,13.0,5
1288,0.6,1.17,10.2,5
1289,0.6,1.17,10.2,5
1290,0.74,0.59,11.0,5
1291,0.635,0.75,10.9,6
1292,0.395,0.67,12.4,6
1293,0.755,0.49,9.7,4
1294,0.635,0.75,10.9,6
1295,0.63,0.45,9.5,5
1296,0.63,0.45,9.5,5
1297,0.53,0.61,12.1,6
1298,0.6,0.56,12.2,6
1299,1.58,0.4,10.9,3
1300,0.645,0.61,12.5,6
1301,0.86,0.74,11.7,6
1302,0.37,0.8,11.2,6
1303,0.28,0.66,11.2,5
1304,0.79,0.44,9.2,5
1305,0.61,0.53,9.8,5
1306,0.69,0.62,10.1,5
1307,0.68,0.52,11.1,4
1308,0.69,0.62,10.1,5
1309,0.62,0.61,9.2,5
1310,0.61,0.53,9.8,5
1311,0.51,0.59,12.8,6
1312,1.18,0.47,10.5,5
1313,0.36,0.54,10.1,6
1314,0.36,0.53,10.1,6
1315,0.63,0.58,9.8,6
1316,0.74,0.59,12.5,6
1317,0.44,0.69,11.9,6
1318,0.63,0.58,9.8,6
1319,0.76,1.33,9.1,6
1320,0.66,0.66,10.1,5
1321,0.74,0.59,12.5,6
1322,0.34,0.55,11.4,5
1323,0.36,0.82,11.0,7
1324,0.46,0.6,10.6,6
1325,0.46,0.6,10.6,6
1326,0.46,0.6,10.6,6
1327,0.46,0.6,10.6,6
1328,0.52,0.52,9.3,5
1329,0.6,0.56,9.8,6
1330,0.6,0.56,9.8,6
1331,0.87,0.46,9.2,5
1332,0.39,0.43,9.7,6
1333,0.775,0.51,9.6,5
1334,0.835,0.52,10.0,5
1335,0.58,0.66,12.6,6
1336,0.5,0.45,9.5,5
1337,0.5,0.45,9.5,5
1338,0.5,0.45,9.5,5
1339,0.51,0.54,10.5,6
1340,0.51,0.54,10.5,6
1341,0.51,0.54,10.5,6
1342,0.54,0.51,10.4,6
1343,0.51,0.54,10.5,6
1344,0.42,0.53,11.0,5
1345,0.44,0.53,10.2,6
1346,0.59,0.56,11.4,5
1347,0.655,0.39,9.5,5
1348,0.655,0.39,9.5,5
1349,0.57,0.52,10.8,5
1350,0.6,0.57,10.0,5
1351,0.62,0.51,11.8,6
1352,0.645,0.46,10.3,5
1353,0.645,0.46,10.3,5
1354,0.58,0.52,10.0,5
1355,0.32,0.44,10.1,5
1356,0.34,0.44,10.1,5
1357,0.43,0.59,11.1,6
1358,0.64,0.5,9.5,5
1359,0.475,0.65,10.0333333333333,6
1360,0.54,0.56,10.9,5
1361,0.85,0.54,10.1,5
1362,0.475,0.65,10.0333333333333,6
1363,0.83,0.48,9.8,4
1364,0.605,0.53,11.8,6
1365,0.5,0.62,9.5,5
1366,0.74,0.5,9.8,5
1367,0.54,1.18,10.5,6
1368,0.77,0.5,9.8,6
1369,0.61,0.37,10.4,4
1370,0.78,1.17,9.2,5
1371,0.58,1.03,11.6,6
1372,0.78,1.17,9.2,5
1373,0.75,0.45,9.3,5
1374,0.815,0.51,9.8,3
1375,0.56,0.52,9.9,5
1376,0.885,0.46,10.0,5
1377,0.49,0.62,12.2,6
1378,0.45,0.51,9.9,6
1379,0.57,0.62,10.8,6
1380,0.57,0.62,10.8,6
1381,0.83,0.45,9.6,5
1382,0.6,0.49,9.9,5
1383,0.6,0.49,9.9,5
1384,0.755,0.5,9.5,5
1385,0.81,0.42,9.2,5
1386,0.64,0.58,9.6,5
1387,0.64,0.58,9.6,5
1388,0.64,0.68,10.3,5
1389,0.48,0.53,9.7,5
1390,0.49,0.59,12.5,6
1391,0.64,0.58,11.0,5
1392,0.62,0.48,9.8,5
1393,0.52,0.48,10.2,5
1394,0.57,0.48,9.2,5
1395,0.685,0.65,9.55,6
1396,0.675,0.65,9.55,5
1397,0.59,0.52,9.9,5
1398,0.6,0.62,10.2,7
1399,0.67,0.72,11.1,6
1400,0.69,0.51,9.9,5
1401,0.69,0.51,9.9,5
1402,0.3,0.82,11.9,6
1403,0.33,1.1,10.0,8
1404,0.5,0.62,10.7,6
1405,0.28,0.9,11.3,7
1406,0.24,0.94,10.9,6
1407,0.51,0.93,10.7,6
1408,0.29,1.01,12.4,7
1409,0.51,0.93,10.7,6
1410,0.96,0.44,11.9,6
1411,0.47,0.73,10.6,6
1412,0.24,0.94,10.9,6
1413,0.57,0.9,10.1,5
1414,0.32,0.78,9.6,5
1415,0.58,0.84,9.4,5
1416,0.32,0.78,9.6,5
1417,0.34,0.77,12.1,7
1418,0.53,0.46,9.8,5
1419,0.64,0.45,9.9,5
1420,0.53,0.46,9.8,5
1421,0.4,0.58,9.4,5
1422,0.54,0.84,11.4,6
1423,0.53,0.67,11.0,4
1424,0.26,0.7,9.6,6
1425,0.26,0.7,9.6,6
1426,0.23,0.71,12.1,6
1427,0.41,0.58,11.2,5
1428,0.64,0.63,11.0,5
1429,0.18,0.93,11.3,5
1430,0.41,0.62,10.4,5
1431,0.43,0.54,9.9,6
1432,0.44,0.85,11.7,6
1433,0.4,0.74,10.1,7
1434,0.54,0.77,9.0,6
1435,0.54,0.77,9.0,6
1436,0.38,0.65,8.5,5
1437,0.915,0.54,11.1,5
1438,0.59,0.47,10.3,5
1439,0.67,0.68,11.066666666666698,6
1440,0.37,0.73,11.3,7
1441,0.785,0.52,9.56666666666667,6
1442,0.63,0.75,9.8,5
1443,0.58,0.49,11.7,5
1444,0.67,0.68,11.1,6
1445,0.785,0.52,9.6,6
1446,0.63,0.75,9.8,5
1447,0.67,0.74,9.7,5
1448,0.58,0.73,9.7,5
1449,0.38,0.76,11.3,8
1450,0.37,0.73,11.3,7
1451,0.32,0.78,11.0,7
1452,0.58,0.76,11.6,7
1453,0.49,0.58,9.0,5
1454,0.45,0.69,10.9,6
1455,0.9,0.63,10.9,6
1456,0.54,0.5,10.55,6
1457,0.49,0.58,9.0,5
1458,0.29,0.6,10.5,5
1459,0.2,0.8,11.9,7
1460,0.42,0.68,10.4,6
1461,0.785,0.61,10.0,4
1462,0.64,0.58,10.4,6
1463,0.63,0.53,10.8,6
1464,0.59,0.67,9.7,5
1465,0.59,0.67,9.7,5
1466,0.48,0.65,10.0,7
1467,1.04,0.57,11.0,4
1468,0.48,0.65,10.0,7
1469,0.98,0.55,9.7,3
1470,0.69,0.47,9.7,5
1471,0.7,0.52,12.6,5
1472,0.35,0.79,11.1,6
1473,0.6,0.54,11.0,5
1474,0.5,0.75,8.8,5
1475,0.47,0.88,13.566666666666698,7
1476,0.5,0.75,8.8,5
1477,0.47,0.88,13.6,7
1478,0.875,0.52,10.2,3
1479,0.28,0.68,10.6,5
1480,0.62,0.62,10.1,4
1481,0.28,0.68,10.6,5
1482,0.58,0.57,10.3,4
1483,0.33,0.61,10.7,5
1484,0.91,0.64,10.9,4
1485,0.655,0.55,9.7,5
1486,0.68,0.6,10.3,5
1487,0.64,0.78,10.6,5
1488,0.54,0.58,11.4,5
1489,0.57,0.76,10.8,6
1490,0.22,0.56,12.4,6
1491,0.54,0.58,11.4,5
1492,0.65,0.54,11.95,5
1493,0.54,0.59,9.7,5
1494,0.31,0.7,10.0,7
1495,0.43,0.81,10.6,6
1496,0.54,0.59,9.7,5
1497,0.74,0.63,11.5,6
1498,0.895,0.58,10.8,6
1499,0.74,0.63,11.5,6
1500,0.725,0.53,9.6,5
1501,0.82,0.53,9.4,5
1502,0.585,0.54,9.8,5
1503,0.44,0.69,11.0,6
1504,0.38,0.55,11.4,6
1505,0.76,0.63,9.95,3
1506,0.81,0.66,10.8,6
1507,0.38,0.55,11.4,6
1508,0.27,0.72,10.6,6
1509,0.18,0.7,11.1,5
1510,0.36,0.77,9.7,6
1511,0.69,0.67,9.8,5
1512,0.79,0.65,10.4,6
1513,0.56,0.6,10.5,6
1514,0.84,0.72,9.23333333333333,6
1515,0.84,0.72,9.25,6
1516,0.32,0.97,10.6,5
1517,0.53,0.83,10.3,6
1518,0.47,0.63,10.5,5
1519,0.7,0.58,10.2,5
1520,0.53,0.83,10.3,6
1521,0.48,0.43,9.05,4
1522,0.32,0.97,10.6,5
1523,0.48,0.6,10.4,5
1524,0.42,0.78,10.0,6
1525,0.48,0.64,9.7,5
1526,0.47,0.65,9.6,6
1527,0.53,0.66,10.8,6
1528,0.29,0.67,10.1,6
1529,0.69,0.6,10.2,6
1530,0.44,0.69,11.3,6
1531,0.705,0.66,10.2,5
1532,0.53,0.68,9.9,6
1533,0.39,0.61,9.0,5
1534,0.56,0.62,11.7,7
1535,0.55,0.59,9.7,6
1536,0.53,0.68,10.3,6
1537,0.58,0.64,10.2,6
1538,0.64,0.63,12.0,5
1539,0.39,0.78,9.9,5
1540,0.52,0.63,11.6,6
1541,0.25,0.76,10.9,7
1542,0.855,0.56,10.75,6
1543,0.44,0.57,10.4,6
1544,0.37,0.81,11.2,7
1545,0.63,0.64,10.1,6
1546,0.57,0.61,10.2,5
1547,0.6,0.51,12.1,5
1548,0.4,0.58,10.4,5
1549,0.36,0.7,11.4,8
1550,0.68,0.53,9.5,5
1551,0.67,0.54,9.4,5
1552,0.68,0.66,11.3,6
1553,0.735,0.6,9.4,5
1554,0.855,0.6,11.0,6
1555,0.56,0.68,10.55,7
1556,0.88,0.56,9.9,5
1557,0.855,0.6,11.0,6
1558,0.63,0.56,9.5,5
1559,0.6,0.52,9.9,5
1560,0.6,0.52,9.9,5
1561,0.6,0.52,9.9,5
1562,0.695,0.54,10.1,5
1563,0.695,0.54,10.1,5
1564,0.695,0.54,10.1,5
1565,0.67,0.82,10.9,6
1566,0.16,0.71,11.2,6
1567,0.695,0.54,10.1,5
1568,0.56,0.59,9.2,5
1569,0.51,0.57,11.5,6
1570,0.36,0.93,12.4,6
1571,0.38,0.65,11.1,6
1572,0.69,0.51,9.5,5
1573,0.58,0.67,12.5,6
1574,0.31,0.48,10.5,6
1575,0.52,0.64,11.8,6
1576,0.3,0.78,10.8,6
1577,0.7,0.6,11.9,6
1578,0.67,0.67,11.3,6
1579,0.56,0.6,11.3,5
1580,0.35,0.6,11.9,6
1581,0.56,0.6,11.3,5
1582,0.715,0.5,11.9,5
1583,0.46,0.62,9.8,5
1584,0.32,0.8,11.6,7
1585,0.39,0.84,11.5,6
1586,0.31,0.85,11.4,6
1587,0.61,0.66,10.9,6
1588,0.66,0.78,12.8,6
1589,0.725,0.54,9.2,5
1590,0.55,0.82,11.6,6
1591,0.74,0.56,11.6,6
1592,0.51,0.75,11.0,6
1593,0.62,0.82,9.5,6
1594,0.6,0.58,10.5,5
1595,0.55,0.76,11.2,6
1596,0.51,0.75,11.0,6
1597,0.645,0.71,10.2,5
1598,0.31,0.66,11.0,6
